freq,coicop,geo\TIME_PERIOD	2019 	2020 	2021 	2022 
A,AP,EE	90.20 	82.93 	94.82 	121.47 
A,APF,EE	3.85 	3.63 	4.21 	4.56 
A,APM,EE	86.36 	79.30 	90.60 	116.92 
A,AP_NNRG,EE	30.45 	26.48 	30.47 	31.62 
A,AP_NRG,EE	59.76 	56.45 	64.35 	89.85 
A,CP00,EE	1000.00 	1000.00 	1000.00 	1000.00 
A,CP01,EE	190.53 	188.11 	220.74 	208.94 
A,CP011,EE	176.22 	173.33 	203.03 	191.80 
A,CP0111,EE	30.21 	28.47 	35.28 	32.09 
A,CP01111,EE	0.91 	0.85 	1.03 	0.89 
A,CP01112,EE	1.83 	1.71 	2.17 	1.91 
A,CP01113,EE	8.63 	7.57 	9.00 	8.32 
A,CP01114,EE	13.20 	12.82 	16.07 	13.32 
A,CP01115,EE	1.85 	1.67 	2.06 	3.28 
A,CP01116,EE	1.71 	1.68 	2.30 	1.89 
A,CP01117,EE	1.63 	1.68 	2.00 	1.78 
A,CP01118,EE	0.45 	0.49 	0.65 	0.69 
A,CP0112,EE	37.85 	36.74 	44.10 	38.06 
A,CP01121,EE	0.93 	1.00 	1.21 	1.21 
A,CP01122,EE	5.12 	5.08 	5.69 	5.57 
A,CP01123,EE	0.00 	0.00 	0.00 	0.00 
A,CP01124,EE	5.05 	4.73 	5.71 	6.48 
A,CP01125,EE	0.00 	0.00 	0.00 	0.00 
A,CP01126,EE	1.01 	0.76 	0.68 	0.61 
A,CP01127,EE	15.00 	15.08 	17.56 	13.44 
A,CP01128,EE	10.74 	10.09 	13.26 	10.75 
A,CP0113,EE	8.96 	9.33 	10.57 	10.54 
A,CP01131,EE	2.32 	2.77 	2.55 	3.61 
A,CP01132,EE	0.62 	0.52 	0.66 	0.52 
A,CP01133,EE	0.00 	0.00 	0.00 	0.00 
A,CP01134,EE	0.00 	0.00 	0.00 	0.00 
A,CP01135,EE	1.96 	1.87 	2.12 	1.74 
A,CP01136,EE	4.05 	4.17 	5.24 	4.68 
A,CP0114,EE	31.85 	32.42 	36.67 	33.10 
A,CP01141,EE	1.73 	2.01 	2.23 	2.01 
A,CP01142,EE	3.07 	2.80 	3.19 	3.03 
A,CP01143,EE	0.57 	0.60 	0.64 	0.68 
A,CP01144,EE	4.08 	4.05 	4.36 	4.22 
A,CP01145,EE	9.70 	9.50 	11.47 	10.38 
A,CP01146,EE	10.21 	10.55 	11.46 	9.61 
A,CP01147,EE	2.49 	2.91 	3.32 	3.17 
A,CP0115,EE	4.28 	4.19 	4.91 	4.49 
A,CP01151,EE	2.29 	2.35 	2.78 	2.78 
A,CP01152,EE	0.58 	0.57 	0.59 	0.48 
A,CP01153,EE	0.33 	0.33 	0.43 	0.34 
A,CP01154,EE	1.08 	0.94 	1.10 	0.89 
A,CP01155,EE	0.00 	0.00 	0.00 	0.00 
A,CP0116,EE	14.49 	16.17 	18.36 	16.05 
A,CP01161,EE	11.63 	13.32 	14.77 	12.18 
A,CP01162,EE	0.39 	0.52 	0.78 	0.68 
A,CP01163,EE	1.94 	1.87 	2.23 	2.46 
A,CP01164,EE	0.53 	0.46 	0.58 	0.73 
A,CP0117,EE	19.37 	17.02 	21.31 	22.92 
A,CP01171,EE	10.20 	8.58 	10.94 	10.60 
A,CP01172,EE	0.69 	0.68 	0.81 	1.16 
A,CP01173,EE	4.70 	4.33 	5.14 	5.23 
A,CP01174,EE	2.10 	1.51 	1.82 	3.44 
A,CP01175,EE	1.36 	1.53 	2.08 	1.99 
A,CP01176,EE	0.31 	0.40 	0.52 	0.50 
A,CP0118,EE	16.52 	15.85 	18.21 	17.72 
A,CP01181,EE	1.00 	0.81 	1.07 	1.00 
A,CP01182,EE	1.26 	1.21 	1.41 	1.55 
A,CP01183,EE	5.97 	5.62 	6.16 	6.05 
A,CP01184,EE	4.74 	4.32 	4.80 	4.87 
A,CP01185,EE	3.54 	3.89 	4.76 	4.26 
A,CP01186,EE	0.00 	0.00 	0.00 	0.00 
A,CP0119,EE	12.70 	13.15 	13.64 	16.83 
A,CP01191,EE	2.40 	2.30 	2.99 	3.70 
A,CP01192,EE	1.16 	0.81 	1.35 	1.48 
A,CP01193,EE	0.76 	0.67 	1.03 	1.22 
A,CP01194,EE	7.81 	8.78 	7.58 	9.67 
A,CP01199,EE	0.56 	0.58 	0.69 	0.75 
A,CP012,EE	14.31 	14.78 	17.71 	17.14 
A,CP0121,EE	5.94 	5.57 	6.62 	6.46 
A,CP01211,EE	4.47 	4.31 	5.17 	4.65 
A,CP01212,EE	1.20 	1.09 	1.13 	1.65 
A,CP01213,EE	0.27 	0.18 	0.32 	0.16 
A,CP0122,EE	8.37 	9.20 	11.09 	10.68 
A,CP01221,EE	2.09 	2.32 	2.78 	3.04 
A,CP01222,EE	3.31 	3.70 	4.64 	4.56 
A,CP01223,EE	2.97 	3.18 	3.66 	3.09 
A,CP02,EE	74.57 	71.30 	67.00 	55.12 
A,CP021,EE	51.47 	48.30 	46.08 	39.02 
A,CP0211,EE	18.99 	15.96 	16.01 	14.40 
A,CP02111,EE	17.69 	14.79 	14.85 	12.59 
A,CP02112,EE	1.31 	1.16 	1.15 	1.81 
A,CP0212,EE	15.19 	15.18 	13.40 	11.66 
A,CP02121,EE	12.63 	12.55 	10.89 	10.40 
A,CP02122,EE	1.56 	1.64 	1.64 	0.99 
A,CP02123,EE	0.99 	0.99 	0.87 	0.27 
A,CP02124,EE	0.00 	0.00 	0.00 	0.00 
A,CP0213,EE	17.29 	17.16 	16.67 	12.96 
A,CP02131,EE	16.60 	16.14 	15.72 	12.19 
A,CP02132,EE	0.00 	0.00 	0.00 	0.00 
A,CP02133,EE	0.69 	1.02 	0.94 	0.77 
A,CP02134,EE	0.00 	0.00 	0.00 	0.00 
A,CP022,EE	23.10 	23.00 	20.92 	16.10 
A,CP02201,EE	23.10 	23.00 	20.92 	16.10 
A,CP02202,EE	0.00 	0.00 	0.00 	0.00 
A,CP02203,EE	0.00 	0.00 	0.00 	0.00 
