freq,unit,coicop,geo\TIME_PERIOD	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 
M,RCH_M,AP,EE	0.5 	10.7 	-7.2 	7.8 	29.2 	-10.7 	-5.0 	3.0 	24.3 	: 
M,RCH_M,APF,EE	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	0.0 	0.0 	0.0 	: 
M,RCH_M,APM,EE	0.5 	11.2 	-7.5 	8.2 	30.3 	-11.1 	-5.2 	3.2 	25.4 	: 
M,RCH_M,AP_NNRG,EE	0.0 	0.0 	0.0 	0.0 	0.1 	0.4 	0.3 	2.1 	0.7 	: 
M,RCH_M,AP_NRG,EE	0.7 	15.0 	-9.7 	10.9 	39.3 	-14.6 	-7.2 	3.4 	34.8 	: 
M,RCH_M,CP00,EE	0.7 	1.2 	-0.2 	1.8 	3.2 	-0.3 	1.3 	2.7 	4.1 	1.8 e
M,RCH_M,CP01,EE	0.7 	-0.5 	-1.1 	2.0 	-0.2 	3.9 	3.7 	1.4 	2.3 	: 
M,RCH_M,CP011,EE	0.7 	-0.7 	-1.1 	1.9 	0.0 	3.8 	4.0 	1.3 	2.4 	: 
M,RCH_M,CP0111,EE	1.3 	0.3 	0.0 	1.8 	1.1 	2.4 	3.2 	1.1 	2.8 	: 
M,RCH_M,CP01111,EE	2.3 	-0.8 	-2.4 	4.0 	1.0 	1.0 	6.7 	11.0 	2.4 	: 
M,RCH_M,CP01112,EE	-0.1 	0.8 	-0.6 	3.1 	2.6 	4.5 	9.5 	6.1 	9.0 	: 
M,RCH_M,CP01113,EE	3.9 	-0.2 	2.2 	2.1 	0.5 	2.3 	3.3 	0.8 	4.6 	: 
M,RCH_M,CP01114,EE	-0.4 	0.9 	-0.6 	1.1 	0.7 	2.6 	3.1 	-0.7 	0.2 	: 
M,RCH_M,CP01115,EE	0.7 	0.8 	-0.2 	0.3 	-1.1 	0.6 	0.3 	1.3 	2.6 	: 
M,RCH_M,CP01116,EE	4.9 	-1.9 	0.1 	3.6 	6.7 	4.1 	2.5 	1.6 	8.9 	: 
M,RCH_M,CP01117,EE	0.9 	-1.6 	-1.6 	3.2 	1.4 	0.6 	2.2 	6.2 	0.6 	: 
